SA2_2016_CODE,SA2_NAME,Employed_persons_working,Average_commuting_distance,Median_commuting_distance,interquartile_range_distance,standard_deviation_distance
101021007,Braidwood,"1,023",17.14,4.15,21.17,26.88
101021008,Karabar,788,13.79,3.54,15.48,27.76
101021009,Queanbeyan,"5,353",16.01,8.51,18.6,26.07
101021010,Queanbeyan - East,"2,683",18.06,15.23,19.65,23.4
101021011,Queanbeyan Region,"2,792",22.52,18.71,34.73,27.95
101021012,Queanbeyan West - Jerrabomberra,"2,089",14.32,9.19,16.96,20.22
101031013,Bombala,"1,003",20.72,5.36,24.48,34.97
101031014,Cooma,"3,370",13.26,2.91,8.72,24.03
101031015,Cooma Region,649,23.63,4.5,37.86,36.54
101031016,Jindabyne - Berridale,"3,320",28.41,15.19,33.66,44.59
101041017,Batemans Bay,"4,122",15.14,8.13,11.38,23.49
101041018,Batemans Bay - South,"1,111",10.17,3.98,10.71,19.84
101041019,Bega - Tathra,"5,031",18.28,14.12,27.57,21.5
101041020,Bega-Eden Hinterland,"1,361",16.77,7.02,26.03,25.65
101041021,Broulee - Tomakin,689,12.71,4.9,15.49,22.3
101041022,Deua - Wadbilliga,3,0,0,0,0
101041023,Eden,"1,295",13.05,3.09,19.71,20.36
101041024,Eurobodalla Hinterland,717,16.43,10.54,21.13,25.22
101041025,Merimbula - Tura Beach,"3,527",11.7,6.86,12.47,18.92
101041026,Moruya - Tuross Head,"3,296",16.47,13.06,21.03,20.79
101041027,Narooma - Bermagui,"2,432",11.64,4.71,12.45,19.78
101051539,Goulburn,"9,877",15.35,3.79,5.72,31.33
101051540,Goulburn Region,"3,364",24.23,11.48,33.9,36.9
101061541,Yass,"2,206",14.83,2.81,14.54,25.89
101061542,Yass Region,"2,193",32.3,12.26,36.81,55.49
101061543,Young,"4,303",11.44,3.35,8.62,22.64
101061544,Young Region,"2,329",22.11,8.64,33.57,30.47
102011028,Avoca Beach - Copacabana,"1,085",7.76,1.6,9.52,16.75
102011029,Box Head - MacMasters Beach,"1,342",8.9,1.78,10.91,18.35
102011030,Calga - Kulnura,"5,178",27.37,23.15,27.11,23.78
102011031,Erina - Green Point,"9,424",13.17,9.47,10.29,15.36
102011032,Gosford - Springfield,"18,754",17.59,12.7,14.4,19.17
102011033,Kariong,"1,302",19.36,15.01,23.16,20.55
102011034,Kincumber - Picketts Valley,"2,159",10.96,6.91,10.78,15.21
102011035,Narara,728,12.67,6.32,17.32,18.19
102011036,Niagara Park - Lisarow,"2,663",15.63,12.75,16.73,16.76
102011037,Point Clare - Koolewong,843,11.19,7.21,14.15,15.39
102011038,Saratoga - Davistown,697,7.05,1.08,10.83,14.55
102011039,Terrigal - North Avoca,"2,834",10.17,5.24,11.69,17.5
102011040,Umina - Booker Bay - Patonga,"3,639",9.37,2.83,11.5,16.3
102011041,Wamberal - Forresters Beach,"1,510",9.42,4.42,11.73,16.16
102011042,Woy Woy - Blackwall,"3,804",12.59,5.72,13.65,18.02
102011043,Wyoming,"2,517",13.17,7.49,16.12,16.29
102021044,Bateau Bay - Killarney Vale,"4,007",9.4,3.99,12.09,14.08
102021045,Blue Haven - San Remo,"1,110",13.03,7.12,15.82,16.72
102021046,Budgewoi - Buff Point - Halekulani,951,9.62,3.75,11.27,16.6
102021047,Chittaway Bay - Tumbi Umbi,"4,893",16.16,10.75,17.11,19.09
102021048,Gorokan - Kanwal - Charmhaven,"4,137",11.31,5.74,11.44,16.78
102021049,Jilliby - Yarramalong,778,17.61,12.46,24.81,22.97
102021050,Lake Munmorah - Mannering Park,"1,792",17.89,11.82,22.07,20.84
102021051,Ourimbah - Fountaindale,"1,992",19.95,15.89,16.44,19.38
102021052,Summerland Point - Gwandalan,462,11.82,2.02,18.18,21.3
102021053,The Entrance,"3,200",12.14,6.37,16.12,18.07
102021054,Toukley - Norah Head,"2,144",12.85,7.83,13.67,19.32
102021055,Tuggerah - Kangy Angy,"9,245",19.14,14.35,13.55,18.44
102021056,Warnervale - Wadalba,"5,931",16.86,11.49,18.8,18.41
102021057,Wyong,"5,104",19.12,14.45,15.06,19.16
103011058,Bathurst,"12,610",13.78,4.72,5.94,27.8
103011059,Bathurst - East,"3,524",12.68,5.84,6.62,24.18
103011060,Bathurst Region,"1,183",21.66,9.58,26.7,38.16
103011061,Oberon,"2,045",23.98,6.86,40.23,35.92
103021062,Condobolin,"2,460",35.79,3.15,64.24,51.64
103021063,Cowra,"3,665",11.01,3.11,8.07,20.59
103021064,Cowra Region,"1,535",15.37,4.6,24.12,24.1
103021065,Forbes,"3,919",14.55,2.86,18.81,25.61
103021066,Grenfell,"1,217",15.4,1.7,25.29,24.55
103021067,Parkes (NSW),"3,971",9.53,2.3,3.24,20.54
103021068,Parkes Region,"1,395",28.43,26.64,37.95,29.81
103021069,West Wyalong,"2,506",26.16,3.42,42.43,40.66
103031070,Lithgow,"4,956",19.17,4.79,21.5,33.96
103031071,Lithgow Region,"2,384",27.39,16.34,31.86,33.23
103031072,Mudgee,"5,160",12.75,3.41,12.87,23.9
